"CustomerID";"Gender";"Age";"Geography";"Tenure";"Contract";"MonthlyCharges";"SupportTickets";"UsageScore";"Churn";"TotalCharges"
"CUST-1000";"Non-binary";"1. Young Adult (18-30)";"West";11;"Monthly";27.02;0;53.43;0;297.22
"CUST-10000";"Female";"2. Adult (31-50)";"North";31;"Monthly";101.33;1;48.83;1;3141.23
"CUST-10001";"Non-binary";"4. Unkownn/Missing";"East";8;"Two year";117.37;2;56.44;0;938.96
"CUST-10002";"Female";"2. Adult (31-50)";"West";35;"Monthly";112.47;0;56.85;0;3936.45
"CUST-10003";"Male";"2. Adult (31-50)";"North";57;"One year";55.79;2;58.76;0;3180.03
"CUST-10004";"Female";"1. Young Adult (18-30)";"West";6;"One year";24.1;0;47.51;0;144.6
"CUST-10005";"Male";"2. Adult (31-50)";"South";56;"Monthly";80.72;0;49.34;0;4520.32
"CUST-10006";"Male";"2. Adult (31-50)";"South";72;"One year";41.52;2;63.34;0;2989.44
"CUST-10007";"Male";"2. Adult (31-50)";"East";42;"Monthly";54.54;2;58.5;0;2290.68
"CUST-10008";"Female";"3. Senior (51+)";"West";44;"Monthly";75.93;0;56.45;1;3340.92
"CUST-10009";"Female";"1. Young Adult (18-30)";"South";35;"Monthly";100.64;0;56.85;0;3522.4
"CUST-1001";"Male";"2. Adult (31-50)";"West";41;"Monthly";105.84;0;51.63;0;4339.44
"CUST-10010";"Female";"3. Senior (51+)";"West";59;"One year";43.0;0;71.7;0;2537.0
"CUST-10011";"Male";"3. Senior (51+)";"West";16;"One year";28.27;0;57.1;0;452.32
"CUST-10012";"Male";"3. Senior (51+)";"North";67;"Monthly";72.01;1;92.92;1;4824.67
"CUST-10013";"Female";"1. Young Adult (18-30)";"South";63;"One year";46.82;0;54.89;0;2949.66
"CUST-10014";"Male";"2. Adult (31-50)";"West";16;"Two year";63.43;1;73.71;0;1014.88
"CUST-10015";"Non-binary";"3. Senior (51+)";"West";8;"Monthly";69.36;0;56.44;1;554.88
"CUST-10016";"Male";"2. Adult (31-50)";"North";36;"Monthly";62.93;0;50.84;0;2265.48
"CUST-10017";"Female";"2. Adult (31-50)";"North";9;"Two year";101.51;0;58.05;1;913.59
"CUST-10018";"Male";"2. Adult (31-50)";"South";29;"Two year";112.43;1;55.42;1;3260.47
"CUST-10019";"Male";"1. Young Adult (18-30)";"West";4;"Monthly";110.87;3;43.31;0;443.48
"CUST-1002";"Female";"3. Senior (51+)";"West";25;"One year";38.0;0;80.64;0;950.0
"CUST-10020";"Female";"3. Senior (51+)";"North";30;"One year";64.37;0;11.56;1;1931.1
"CUST-10021";"Non-binary";"1. Young Adult (18-30)";"West";40;"One year";96.08;6;19.46;1;3843.2
"CUST-10022";"Female";"1. Young Adult (18-30)";"East";49;"Monthly";21.55;3;54.7;1;1055.95
"CUST-10023";"Male";"2. Adult (31-50)";"East";52;"Monthly";93.53;1;54.79;1;4863.56
"CUST-10024";"Non-binary";"2. Adult (31-50)";"South";41;"Monthly";112.31;0;45.27;1;4604.71
"CUST-10025";"Male";"3. Senior (51+)";"South";7;"Two year";56.66;0;59.79;0;396.62
"CUST-10026";"Male";"3. Senior (51+)";"West";71;"Two year";89.89;2;95.63;0;6382.19
