CustomerID,Gender,Age,Geography,Tenure,Contract,MonthlyCharges,SupportTickets,UsageScore,Churn,TotalCharges
CUST-9707,non-binary,55,West,53,m2m,77.61,,21.74,1,"$4,113.33"
CUST-8078,M,46,South,23,Month-to-month,47.99,3.0,,0,"$1,103.77"
CUST-2450,Female,76,South,7,Month-to-month,30.82,,63.59,0,$215.74
CUST-4764,Male,75,North,29,One year,101.54,,28.22,0,"$2,944.66"
CUST-8634,M,250,North,0,m2m,63.42,,,1,$0.0
CUST-6307,M,52,North,17,m2m,93.52,2.0,,1,"$1,589.84"
CUST-8474,F,56,North,42,Month-to-month,45.67,,,0,"$1,918.14"
CUST-2709,Male,50,East,35,1yr,34.65,,,0,"$1,212.75"
CUST-3540,Male,250,East,70,Two year,20.34,,18.63,0,"$1,423.8"
CUST-9573,F,45,North,28,One year,78.13,,16.39,0,"$2,187.64"
CUST-3146,F,44,North,5,Two year,58.68,2.0,0.0,1,$293.4
CUST-9448,M,79,East,36,Month-to-month,74.06,,,0,"$2,666.16"
CUST-3895,Male,53,East,1,m2m,97.94,,7.600000000000001,1,$97.94
CUST-5442,M,53,North,67,Month-to-month,92.14,,74.66,1,"$6,173.38"
CUST-1617,Female,18,South,53,Month-to-month,45.9,0.0,,0,"$2,432.7"
CUST-8642,non-binary,20,West,71,m2m,56.11,,73.59,1,"$3,983.81"
CUST-2735,non-binary,75,East,41,Month-to-month,24.95,,,0,"$1,022.95"
CUST-2787,non-binary,63,East,30,m2m,21.24,,41.11,0,$637.2
CUST-7959,M,77,West,30,Month-to-month,29.05,,79.12,0,$871.5
CUST-2268,Female,79,South,4,m2m,93.15,,,0,$372.6
CUST-1307,Male,51,West,51,One year,56.89,2.0,,0,"$2,901.39"
CUST-6900,F,62,South,39,One year,52.04,,28.48,0,"$2,029.56"
CUST-7383,Male,42,South,11,Two year,117.3,0.0,60.98,0,"$1,290.3"
CUST-4487,non-binary,25,South,1,One year,45.75,,71.76,0,$45.75
CUST-5702,F,37,South,22,Two year,42.6,3.0,85.96,0,$937.2
CUST-10277,non-binary,31,North,21,Month-to-month,24.45,,85.37,0,$513.45
CUST-7299,M,70,North,4,m2m,50.36,,,1,$201.44
CUST-8817,F,26,South,16,Month-to-month,63.37,,33.73,1,"$1,013.92"
CUST-7457,Female,69,East,54,Two year,109.48,,50.32,0,"$5,911.92"
CUST-8393,Male,32,North,3,Month-to-month,82.57,,0.0,1,$247.71
CUST-7316,F,74,South,39,Month-to-month,80.42,2.0,44.36,0,"$3,136.38"
CUST-1542,non-binary,31,North,70,One year,51.67,,70.32,0,"$3,616.9"
CUST-4763,Male,54,North,64,One year,119.44,,17.96,1,"$7,644.16"
CUST-9211,Female,23,North,68,Month-to-month,20.66,3.0,,1,"$1,404.88"
CUST-10742,Female,44,North,72,m2m,57.26,3.0,,1,"$4,122.72"
CUST-5337,M,72,South,34,Two year,52.57,,,0,"$1,787.38"
