CustomerID,Churn_Probability
CUST-6252,0.1
CUST-4684,0.02
CUST-1731,0.56
CUST-4742,0.02
CUST-4521,0.67
CUST-6340,0.02
CUST-10523,0.3
CUST-5202,0.08
CUST-6363,0.51
CUST-10399,0.66
CUST-2750,0.65
CUST-7487,0.06
CUST-5272,0.35
CUST-5653,0.15
CUST-3999,0.0
CUST-6033,0.35
CUST-10529,0.04
CUST-9930,0.31
CUST-7051,0.61
CUST-8158,0.48
CUST-9896,0.18
CUST-2249,0.13
CUST-4640,0.39
CUST-9485,0.03
CUST-4947,0.17
CUST-9920,0.1
CUST-1963,0.07
CUST-8243,0.85
CUST-6590,0.32
CUST-8847,0.6
CUST-10291,0.55
CUST-2678,0.16
CUST-4625,0.42
CUST-4949,0.51
CUST-8328,0.67
CUST-3337,0.89
CUST-5589,0.73
CUST-10228,0.07
CUST-3973,0.02
CUST-6630,0.23
CUST-5547,0.28
CUST-10031,0.47
CUST-8362,0.14
CUST-1513,0.92
CUST-9317,0.21
CUST-10035,0.41
CUST-4819,0.46
CUST-3465,0.65
CUST-1760,0.49
CUST-2304,0.02
CUST-3723,0.27
CUST-8284,0.54
CUST-4993,0.78
CUST-8127,0.03
CUST-3032,0.53
CUST-7938,0.24
CUST-3039,0.47
CUST-9655,0.77
CUST-2545,0.05
CUST-2592,0.18
CUST-1188,0.47
CUST-7966,0.66
CUST-6077,0.05
CUST-10097,0.27
CUST-1315,0.7
CUST-8187,0.17
CUST-2753,0.45
CUST-9753,0.06
CUST-6231,0.71
CUST-2876,0.11
CUST-5323,0.57
CUST-10726,0.65
CUST-3570,0.18
CUST-2894,0.24
CUST-2927,0.17
CUST-8178,0.04
CUST-10882,0.3
CUST-6687,0.41
CUST-8575,0.26
CUST-2020,0.43
CUST-9054,0.26
CUST-10865,0.39
CUST-5359,0.07
CUST-3857,0.57
CUST-5861,0.12
CUST-3145,0.94
CUST-3305,0.14
CUST-3006,0.41
CUST-9001,0.3
CUST-7770,0.43
CUST-7438,0.16
CUST-7942,0.41
CUST-9238,0.41
CUST-1096,0.26
CUST-3154,0.51
CUST-3787,0.28
CUST-9189,0.15
CUST-7825,0.29
CUST-7539,0.12
CUST-7231,0.85
CUST-10694,0.32
CUST-5019,0.16
CUST-4903,0.29
CUST-8093,0.66
CUST-6843,0.27
CUST-2165,0.42
CUST-1862,0.76
CUST-7850,0.08
CUST-9123,0.02
CUST-2340,0.53
CUST-5527,0.52
CUST-6743,0.69
CUST-4003,0.08
CUST-1123,0.06
CUST-8709,0.45
CUST-4049,0.61
CUST-7640,0.57
CUST-10695,0.31
CUST-2344,0.02
CUST-4071,0.79
CUST-7216,0.41
CUST-4216,0.2
CUST-7952,0.16
CUST-5970,0.29
CUST-3350,0.16
CUST-4695,0.52
CUST-3399,0.89
CUST-4081,0.48
CUST-9149,0.55
CUST-1224,0.05
CUST-6292,0.61
CUST-3122,0.88
CUST-10463,0.26
CUST-5794,0.08
CUST-8181,0.23
CUST-9417,0.66
CUST-10087,0.35
CUST-6681,0.29
CUST-1512,0.21
CUST-8791,0.01
CUST-10108,0.37
CUST-7791,0.68
CUST-6517,0.02
CUST-1003,0.75
CUST-7887,0.18
CUST-6830,0.78
CUST-5421,0.86
CUST-10970,0.61
CUST-1347,0.18
CUST-4747,0.04
CUST-6005,0.28
CUST-6039,0.06
CUST-3817,0.52
CUST-8446,0.09
CUST-5269,0.43
CUST-6897,0.61
CUST-5309,0.45
CUST-10028,0.45
CUST-5674,0.67
CUST-4386,0.81
CUST-10026,0.13
CUST-4202,0.59
CUST-7507,0.65
CUST-10668,0.15
CUST-2067,0.25
CUST-10096,0.01
CUST-9644,0.65
CUST-8894,0.39
CUST-8020,0.47
CUST-2232,0.06
CUST-10902,0.7
CUST-9412,0.39
CUST-7058,0.38
CUST-6789,0.19
CUST-10327,0.43
CUST-10276,0.39
CUST-2627,0.75
CUST-8965,0.22
CUST-4513,0.61
CUST-5910,0.32
CUST-8313,0.22
CUST-3100,0.72
CUST-5703,0.02
